id,name,SCSB,SK_LINEAR,SK_RANDOMFOREST,SK_DECISIONTREE,XGBOOST
1925,Sumas Lake Canal,39,38.68,38.87,39.0,39.0
1926,Marshall Creek,30,29.69,29.02,30.0,30.0
1927,Saar Creek,34,33.86,32.66,34.0,34.0
1928,Wilson Slough,33,33.11,32.1,33.0,33.0
1929,Chilliwack Creek,32,31.54,31.56,32.0,32.0
1930,Semmihault Creek,55,54.33,54.65,55.0,55.0
1931,Gravel Slough,44,44.83,45.11,44.0,44.0
1932,Hope Slough,50,50.17,48.74,50.0,50.0
1933,Elk Creek,67,68.04,68.09,67.0,67.0
1934,0,52,52.44,49.37,46.0,50.24
2426,0,26,25.73,25.73,26.0,26.0
2427,0,44,44.48,44.02,44.0,44.0
2428,0,43,42.62,43.12,43.0,42.99
4673,Norrish Creek,84,84.67,84.41,84.0,83.99
4674,Norrish Creek,80,80.8,83.08,80.0,80.0
4676,Chehalis River,88,87.89,91.21,93.0,91.82
4677,Statlu Creek,89,89.03,90.37,92.0,93.4
4678,Statlu Creek,97,96.79,96.68,97.0,97.01
4679,Maisal Creek,77,77.13,78.78,69.0,75.77
4682,Chehalis River,96,95.57,96.72,96.0,96.0
4685,Morris Creek,63,63.36,62.52,63.0,63.0
4724,Hogg Slough,57,57.1,56.05,57.0,57.0
4731,Fraser River,44,44.26,44.98,44.0,44.01
4733,Fraser River,75,75.03,73.23,75.0,75.0
5362,Rainy River,106,105.22,105.55,106.0,106.0
5363,McNair Creek,108,107.73,107.86,108.0,107.99
5364,Dakota Creek,89,89.19,94.15,89.0,89.0
5365,Roberts Creek,64,63.94,66.04,64.0,63.99
5366,Wilson Creek,55,55.12,55.21,55.0,55.01
5367,Chapman Creek,85,85.14,85.48,85.0,85.01
5368,Homesite Creek,43,42.6,42.97,43.0,43.0
5369,Myers Creek,63,63.34,61.64,63.0,63.0
5370,Ruby Creek,44,44.03,44.31,44.0,44.0
5371,Carlson Creek,46,46.67,49.72,46.0,46.0
5372,Gray Creek,80,80.44,82.11,80.0,80.0
5373,Sechelt Creek,98,99.01,100.04,98.0,98.01
5374,Clowhom River,120,120.61,120.15,120.0,120.0
5375,0,123,122.21,122.24,123.0,123.0
5376,0,126,125.74,123.53,126.0,126.0
5377,Taquat Creek,108,108.19,108.19,108.0,108.0
5378,Red Tusk Creek,132,132.41,129.64,132.0,132.0
5380,Clowhom River,129,128.9,128.65,129.0,129.0
5382,Misery Creek,109,108.91,108.7,109.0,109.0
5383,0,113,113.76,113.56,113.0,113.0
5387,Earle Creek,113,112.47,113.02,113.0,113.0
5417,Lois River,44,44.15,44.17,44.0,43.99
5418,Horseshoe River,52,52.82,53.16,52.0,52.0
5419,Horseshoe River,69,68.48,69.04,69.0,68.99
5420,Freda Creek,80,79.86,80.99,80.0,80.0
5421,0,88,87.74,89.04,88.0,88.0
5422,Lois River,66,66.09,66.13,66.0,66.02
5423,Lois Lake,67,66.26,66.58,67.0,66.98
5424,Lois River,47,46.75,47.95,47.0,47.0
5425,Lois River,84,84.05,79.06,84.0,84.0
5426,Lang Creek,45,44.61,44.71,45.0,45.0
5427,0,46,46.66,48.36,43.0,47.87
5428,Lang Creek,50,48.93,49.63,50.0,49.98
5429,0,107,107.78,107.48,107.0,107.0
5430,0,69,69.54,72.12,69.0,69.0
5431,0,86,85.14,85.93,86.0,85.99
