id,name,SCSB,SK_LINEAR,SK_RANDOMFOREST,SK_DECISIONTREE,XGBOOST
1906,Sumas River,51.0,50.68,54.71,55.0,54.25
1907,Vedder Canal,50.0,52.55,50.37,50.0,50.06
1911,Tamihi Creek,51.0,55.14,51.84,52.0,51.19
1912,Slesse Creek,50.0,54.35,50.32,50.0,50.01
1913,Chipmunk Creek,52.0,55.56,52.12,52.0,52.04
1914,Foley Creek,46.0,50.29,48.18,47.0,46.23
1915,Nesakwatch Creek,48.0,52.71,48.37,48.0,48.0
1916,Centre Creek,48.0,53.67,48.63,48.0,47.97
1917,Post Creek,49.0,53.37,49.23,49.0,49.06
1918,Paleface Creek,52.0,58.49,55.46,53.0,53.74
1920,Chilliwack River,50.0,53.06,49.84,50.0,49.96
1921,Chilliwack River,49.0,53.05,49.6,49.0,49.29
1922,Chilliwack River,49.0,53.45,49.49,49.0,49.06
1923,Chilliwack River,50.0,54.33,49.55,50.0,49.97
4059,Ruby Creek,63.0,63.0,63.36,63.0,63.0
4060,Garnet Creek,64.0,64.61,63.06,62.0,70.38
4061,Hunter Creek,66.0,68.08,63.26,60.0,69.55
4062,Silverhope Creek,56.0,58.8,54.11,52.0,54.66
4063,Sowerby Creek,63.0,66.15,61.91,60.0,61.21
4064,Yola Creek,52.0,56.67,51.68,54.0,52.74
4065,Cantelon Creek,57.0,61.13,58.27,57.0,56.99
4066,Hicks Creek,51.0,55.58,50.69,51.0,50.92
4067,Silverhope Creek,54.0,57.2,52.77,52.0,53.0
4068,Silverhope Creek,51.0,55.67,50.69,51.0,50.92
4069,Coquihalla River,65.0,67.87,62.58,63.0,67.09
4070,Nicolum River,46.0,48.45,45.03,46.0,44.64
4071,Eight Mile Creek,46.0,49.35,45.73,46.0,45.99
4072,Wray Creek,44.0,47.26,43.92,44.0,44.01
4073,Peers Creek,55.0,56.17,55.03,55.0,54.97
4074,Sowaqua Creek,52.0,55.59,51.91,52.0,51.99
4075,Sowaqua Creek,43.0,47.51,43.22,44.0,43.82
4076,Dewdney Creek,76.0,79.4,76.66,77.0,76.63
4077,Cedarflat Creek,78.0,82.61,77.27,78.0,77.99
4078,Ladner Creek,83.0,85.24,79.0,81.0,79.11
4079,Boston Bar Creek,81.0,84.37,79.91,81.0,80.98
4081,Coquihalla River,69.0,72.58,66.43,69.0,69.0
4082,Coquihalla River,77.0,80.89,76.5,77.0,76.98
4083,Coquihalla River,74.0,78.73,75.13,74.0,74.03
4085,American Creek,60.0,59.46,58.7,60.0,60.04
4086,Emory Creek,61.0,60.97,61.15,64.0,62.72
4087,Yale Creek,64.0,65.2,63.45,64.0,63.97
4088,Siwash Creek,76.0,77.08,74.21,76.0,76.05
4089,0,74.0,75.13,69.98,70.0,70.23
4090,Sawmill Creek,61.0,64.06,61.72,61.0,60.99
4091,0,63.0,60.99,60.45,63.0,62.97
4092,Spuzzum Creek,53.0,55.65,53.25,53.0,53.8
4093,Urquhart Creek,57.0,59.84,56.6,54.0,59.15
4094,0,58.0,61.4,58.42,58.0,58.09
4095,0,54.0,56.65,53.89,54.0,53.99
4096,Spuzzum Creek,53.0,54.7,53.23,53.0,53.01
4103,Anderson River,52.0,55.14,51.99,52.0,52.01
4115,Nahatlatch River,47.0,51.78,47.41,47.0,47.0
4131,0,56.0,61.83,56.63,56.0,55.98
