id,gen_id,processing_time,stream_name,feature_area_sqm,station_number,most_recent_year,mean,min,max,drainage_area_gross,latitude,longitude
generated_dem.AQEAAACESkUro2hfwPAHbmqBuUxA,108,13.152555558015592,Kwadacha River,2425572339.396927,07EA002,1998,50.83939384691643,6.079999923706055,267.0,2410.0,57.45000076293945,-125.6374969482422
generated_dem.AQEAAADbybLwrTlfwLjHNbJpmExA,109,19.33378265995998,Akie River,46757.46245035828,07EA007,2019,26.04336359284141,3.7899999618530273,145.0,1690.0,57.19110870361328,-124.90110778808594
generated_dem.AQEAAADx-3tM6_tewDccf2oIQ0xA,110,13.906674385012593,Ospika River,2095438999.6451802,07EB002,2019,37.59115391205519,4.78000020980835,255.0,2190.0,56.52410888671875,-123.93602752685548
generated_dem.AQEAAABe0W5zkStfwKEpbu4F5UtA,142,4.451734958973248,,584885993.4004277,07EC001,1969,90.22500038146973,10.800000190734863,631.0,5080.0,55.78889083862305,-124.68055725097656
generated_dem.AQEAAACdrFMQPClfwHgPiahtH0xA,144,26.710971864988096,Mesilinka River,3025635989.9415536,07EC003,2019,37.5281370901594,7.920000076293945,298.0,3060.0,56.24499893188477,-124.64466857910156
generated_dem.AQEAAADOsQDJ-6dewBw_HyhhaUxA,176,5.252481841947883,Cypress Creek,618436244.7510067,07FA007,2000,4.216666618982951,0.2899999916553497,57.599998474121094,nan,56.82332992553711,-122.62471771240234
generated_dem.AQEAAADxSJG8AE1ewE8q0N2kxktA,178,19.32450784399407,Murray River,5559856881.275813,07FB002,2018,77.21047702702609,15.0,731.0,5550.0,55.55247116088867,-121.20349884033205
generated_dem.AQEAAAAh89NII2hewOc713taxUtA,180,12.228763617982622,Sukunka River,2589799072.2488747,07FB003,2015,54.87105269181101,7.349999904632567,349.0,2590.0,55.54217147827149,-121.6275634765625
generated_dem.AQEAAADWSSoRMGZewHw1QmrTxEtA,181,1.148030815005768,Dickebusch Creek,85655434.18728694,07FB004,2019,0.6827045414935459,0.059000000357627876,26.79999923706055,82.4000015258789,55.53778076171875,-121.59680938720705
generated_dem.AQEAAACEBENYGDtewCj2tOmmkktA,182,0.8042046569753438,,13478687.299386768,07FB005,2000,0.19640909033742815,0.0,3.0299999713897705,29.5,55.14582824707031,-120.92333221435548
generated_dem.AQEAAACFhkIn60BewJYEc7fVh0tA,183,9.710320076032076,Murray River,2392231132.9091153,07FB006,2018,51.331545439633466,8.670000076293945,412.0,2370.0,55.06135940551758,-121.01377868652344
generated_dem.AQEAAACwMQjctXBewI3CWwsmmEtA,184,4.797331995971035,,928093679.2004361,07FB007,1985,24.024999856948853,2.400000095367432,185.0,927.0,55.18777847290039,-121.7611083984375
generated_dem.AQEAAAAHf1e1eFdewJkA-ZvbC0xA,185,6.676292305986863,Moberly River,1515801335.5040803,07FB008,2019,10.200874879956244,1.4099999666213991,101.0,1520.0,56.09249877929688,-121.36678314208984
generated_dem.AQEAAABBoOyTRzxewGtPmwGGi0tA,186,2.163199116999749,Flatbed Creek,479437600.96840847,07FB009,2018,4.531216228330457,0.44999998807907104,112.0,486.0,55.09017181396485,-120.94183349609376
generated_dem.AQEAAADcuKTuMztewG6I9lNRNkxA,187,1.4587932029971853,Montney Creek,213568498.68744436,07FC002,1973,0.7195000015199184,0.0010000000474974509,8.720000267028809,201.0,56.424171447753906,-120.9250030517578
generated_dem.AQEAAABJaxHzOk5ewClbKabAVkxA,188,8.362708858039696,Blueberry River,1775649179.2504342,07FC003,2019,5.248222231864928,0.13199999928474426,271.0,1770.0,56.67763900756836,-121.22232818603516
generated_dem.AQEAAADhAJoLszxewDjPukESI0xA,189,1.5280938350479119,,297881240.465622,07FC004,1992,0.4770000019731621,0.0,0.1809999942779541,298.0,56.27444076538086,-120.94750213623048
generated_dem.AQEAAAByqKfbLj1ewGpOjp2YI0xA,190,0.5798978160019033,,991625.542547067,07FC005,1990,1.3085714493479048,2.0209999084472656,2.7390000820159908,nan,56.28055953979492,-120.95693969726562
generated_dem.AQEAAABmRlH9SRhewGs_Bf_cTExA,191,1.0817652120022103,,159411823.6621326,07FC006,1980,0.1589999943971634,0.0,4.0,120.0,56.600830078125,-120.37972259521484
generated_dem.AQEAAADmfXw_HiRewHS6_u2K-ktA,192,10.1547825030284,Kiskatinaw River,3601760812.3631787,07FD001,2019,9.895849983890852,2.009999990463257,65.09999847412111,3630.0,55.95735931396485,-120.56436157226562
generated_dem.AQEAAACjmsee8wlewKL4A67DKkxA,193,1.4627451400156133,Alces River,322153026.98201907,07FD004,2015,0.92815151720336,0.0020000000949949017,17.700000762939453,295.0,56.33422088623047,-120.15514373779295
generated_dem.AQEAAADyIRD-8QFewDW8mOe67ktA,194,3.4743431310052983,Pouce Coupé River,237542016.88905194,07FD007,2015,7.056549969315529,0.020999999716877937,36.900001525878906,2860.0,55.86518859863281,-120.0304183959961
generated_dem.AQEAAABx51plugNewJiOtZZ0WUtA,195,0.9599218759685755,,119620.88122708726,07GC001,1981,38.0,6.300000190734862,258.0,2400.0,54.6986083984375,-120.0583267211914
generated_dem.AQEAAAC4gfs0MLVgwEb9rDRUjU1A,196,1.3188724219799042,,13298.22116810168,08BB002,1979,9.732000160217288,0.4160000085830689,52.4000015258789,427.0,59.10556030273438,-133.66111755371094
generated_dem.AQEAAABsTyb0TgNgwD99vynQ1UxA,197,21.473263140011113,,3470302848.6499734,08CA001,1994,60.207142693655825,5.0,258.0,3400.0,57.67028045654297,-128.10333251953122
