iter	Passed	Remaining
0	57	57898
1	60	30042
2	61	20595
3	63	15924
4	65	13068
5	67	11226
6	69	9828
7	72	9014
8	75	8345
9	78	7812
10	81	7321
11	83	6868
12	85	6466
13	86	6108
14	88	5819
15	90	5541
16	92	5330
17	96	5237
18	99	5118
19	100	4932
20	102	4772
21	104	4632
22	106	4529
23	108	4400
24	109	4276
25	111	4164
26	112	4066
27	114	3972
28	115	3882
29	117	3804
30	119	3736
31	121	3665
32	122	3602
33	124	3550
34	126	3498
35	128	3438
36	129	3379
37	131	3340
38	135	3329
39	138	3333
40	140	3286
41	142	3243
42	143	3198
43	145	3155
44	146	3112
45	148	3071
46	149	3036
47	152	3015
48	153	2980
49	155	2947
50	156	2918
51	159	2913
52	161	2885
53	162	2855
54	164	2828
55	166	2800
56	168	2786
57	170	2768
58	172	2757
59	175	2744
60	178	2745
61	180	2733
62	182	2709
63	184	2694
64	185	2670
65	187	2649
66	189	2634
67	190	2614
68	191	2589
69	193	2569
70	194	2549
71	196	2532
72	198	2520
73	200	2504
74	202	2494
75	203	2479
76	205	2466
77	207	2449
78	209	2445
79	212	2438
80	214	2434
81	218	2447
82	221	2451
83	224	2443
84	226	2437
85	228	2433
86	232	2435
87	234	2428
88	236	2425
89	239	2419
90	241	2413
91	244	2408
92	246	2403
93	249	2402
94	250	2389
95	252	2376
96	254	2369
97	257	2367
98	261	2375
99	264	2379
100	267	2376
101	269	2371
102	272	2372
103	275	2369
104	277	2368
105	279	2360
106	282	2354
107	284	2351
108	286	2342
109	288	2334
110	290	2324
111	292	2318
112	295	2317
113	298	2317
114	301	2318
115	304	2321
116	307	2316
117	309	2313
118	312	2310
119	314	2309
120	316	2302
121	319	2298
122	321	2294
123	324	2294
124	327	2291
125	329	2286
126	332	2284
127	334	2281
128	338	2284
129	341	2286
130	344	2286
131	346	2278
132	347	2267
133	349	2257
134	351	2250
135	352	2241
136	354	2232
137	355	2223
138	358	2218
139	359	2209
140	361	2200
141	362	2192
142	364	2184
143	365	2175
144	367	2166
145	368	2158
146	370	2149
147	372	2142
148	373	2133
149	375	2125
150	377	2122
151	379	2118
152	382	2117
153	384	2114
154	386	2107
155	388	2101
156	389	2093
157	391	2086
158	392	2078
159	394	2071
160	396	2063
161	397	2056
162	399	2050
163	400	2043
164	402	2035
165	403	2028
166	405	2021
167	406	2014
168	408	2007
169	410	2002
170	411	1995
171	413	1988
172	414	1981
173	416	1975
174	418	1972
175	421	1973
176	424	1975
177	426	1969
178	428	1963
179	429	1956
180	431	1951
181	433	1947
182	434	1941
183	436	1936
184	438	1930
185	439	1924
186	441	1917
187	442	1911
188	444	1906
189	446	1901
190	447	1896
191	449	1890
192	451	1886
193	452	1880
194	454	1875
195	456	1871
196	458	1868
197	460	1866
198	463	1866
199	466	1865
200	467	1859
201	469	1854
202	470	1848
203	472	1843
204	474	1838
205	475	1833
206	477	1827
207	478	1821
208	480	1817
209	481	1813
210	483	1809
211	485	1803
212	486	1798
213	488	1793
214	489	1788
215	491	1783
216	493	1779
217	494	1774
218	496	1770
219	497	1765
220	500	1764
221	504	1766
222	507	1766
223	508	1761
224	510	1756
225	511	1752
226	513	1747
227	515	1744
228	516	1739
229	518	1734
230	519	1730
231	521	1726
232	522	1721
233	524	1716
234	525	1711
235	527	1707
236	528	1702
237	530	1697
238	531	1693
239	533	1688
240	534	1683
241	536	1679
242	538	1676
243	540	1674
244	543	1673
245	546	1675
246	549	1675
247	552	1674
248	554	1672
249	557	1671
250	558	1667
251	560	1663
252	562	1660
253	563	1656
254	565	1651
255	567	1647
256	568	1643
257	570	1639
258	571	1635
259	573	1631
260	574	1627
261	576	1623
262	578	1619
263	579	1616
264	582	1615
265	585	1615
266	588	1616
267	590	1612
268	592	1609
