iter	RMSE
0	18.77304771
1	18.58001682
2	18.38712224
3	18.20770065
4	17.98520085
5	17.821518
6	17.65365215
7	17.53358001
8	17.38510654
9	17.24474627
10	17.13142561
11	16.99990073
12	16.89645795
13	16.78482658
14	16.69840273
15	16.57308454
16	16.46953471
17	16.3339379
18	16.20754707
19	16.11456456
20	16.03545763
21	15.9404362
22	15.86623794
23	15.78519737
24	15.69292935
25	15.61886905
26	15.55787945
27	15.48343863
28	15.40804989
29	15.33667614
30	15.27368529
31	15.21169602
32	15.15652446
33	15.10006846
34	15.01917098
35	14.94796275
36	14.88273324
37	14.81747314
38	14.75346282
39	14.70825475
40	14.66479798
41	14.62000237
42	14.57780465
43	14.49435417
44	14.46937698
45	14.41600283
46	14.34731597
47	14.29163593
48	14.24922229
49	14.2171782
50	14.18141845
51	14.14521248
52	14.11095932
53	14.06930013
54	14.02631023
55	13.99797029
56	13.96055175
57	13.91443627
58	13.87242816
59	13.84425755
60	13.81165093
61	13.77483761
62	13.73149512
63	13.67939664
64	13.64453199
65	13.62221183
66	13.57892227
67	13.53931222
68	13.5146337
69	13.48506583
70	13.44018506
71	13.41013981
72	13.38009059
73	13.34307338
74	13.31502202
75	13.29558552
76	13.26698694
77	13.23355759
78	13.19238975
79	13.16138076
80	13.1410026
81	13.11480389
82	13.09923782
83	13.07242816
84	13.05851903
85	13.03268983
86	13.01200781
87	12.99580544
88	12.98507502
89	12.96381589
90	12.93941299
91	12.91651036
92	12.89714008
93	12.86982832
94	12.83516539
95	12.81496965
96	12.78494161
97	12.76819095
98	12.73801859
99	12.70966442
100	12.7015963
101	12.68996476
102	12.66353088
103	12.6406822
104	12.62642694
105	12.61043293
106	12.58687895
107	12.56405055
108	12.55013681
109	12.53284153
110	12.50196936
111	12.47823748
112	12.46179567
113	12.44343986
114	12.42659195
115	12.4106251
116	12.38989048
117	12.36708613
118	12.35808966
119	12.34339144
120	12.31639204
121	12.29923679
122	12.2817921
123	12.2607789
124	12.24409794
125	12.23247104
126	12.21814707
127	12.1964448
128	12.17518103
129	12.15443207
130	12.13791457
131	12.12180913
132	12.11337882
133	12.09654758
134	12.08505856
135	12.07212876
136	12.05970669
137	12.04929838
138	12.03811806
139	12.02384906
