STATION_NUMBER,YEAR,MEAN,MIN,MAX,MIN_MONTH,MAX_MONTH,LATITUDE,LONGITUDE,DRAINAGE_AREA_GROSS,YEARS_OF_DATA
07EA002,1998,50.83939384691643,6.079999923706055,267.0,2.0,5.0,57.45000076293945,-125.6374969482422,2410.0,33
07EA004,2019,47.90986302787182,8.670000076293945,267.0,1.0,5.0,56.73060989379883,-125.1050033569336,4140.0,51
07EA005,2018,233.50593181902713,24.899999618530284,1080.0,1.0,6.0,57.126220703125,-125.24992370605469,15600.0,44
07EA007,2019,26.04336359284141,3.7899999618530273,145.0,3.0,5.0,57.19110870361328,-124.90110778808594,1690.0,44
07EB002,2019,37.591153912055184,4.78000020980835,255.0,1.0,5.0,56.52410888671875,-123.93602752685548,2190.0,39
07EC002,2019,77.01427479818756,15.5,370.0,3.0,5.0,55.9168586730957,-124.5675811767578,5560.0,51
07EC003,2019,37.5281370901594,7.920000076293945,298.0,3.0,5.0,56.24499893188477,-124.64466857910156,3060.0,51
07EC004,2018,30.825886477123607,6.6599998474121085,262.0,3.0,5.0,56.1269416809082,-124.80191802978516,1950.0,44
07ED001,1995,56.949999945504324,12.5,317.0,3.0,5.0,55.20000076293945,-124.23332977294922,4350.0,28
07ED003,2018,79.68910055309534,15.300000190734865,426.0,9.0,6.0,55.42721939086914,-123.63336181640624,6790.0,40
07EE007,2018,136.88177777661218,33.400001525878906,681.0,1.0,5.0,55.08193969726562,-122.9130630493164,4930.0,54
07EE009,2018,4.924311113357544,0.3540000021457672,40.0,8.0,3.0,54.52972030639648,-122.61222076416016,310.0,45
07EE010,2018,39.83516651959646,6.269999980926514,315.0,9.0,5.0,54.99850082397461,-123.03656005859376,3710.0,42
07EF001,2018,984.0955352178762,309.0,1730.0,6.0,1.0,56.0270004272461,-121.9086685180664,73100.0,71
07EF002,2018,35.108333685459236,32.455001831054695,41.391998291015625,4.0,10.0,56.04996871948242,-123.7481918334961,,39
07EF003,2019,35.2904323371681,32.46200180053711,41.44200134277344,4.0,10.0,56.10639190673828,-122.7161102294922,,37
07FA003,2019,33.68418188528581,4.059999942779541,71.0999984741211,3.0,5.0,56.50894165039063,-122.24321746826172,3780.0,22
07FA004,2016,1109.3984500020742,397.0,2010.0,4.0,9.0,56.1993293762207,-120.8144989013672,87200.0,40
07FA005,2019,21.368325028475375,4.449999809265137,113.0,3.0,7.0,56.459861755371094,-122.35453033447266,2140.0,40
07FA006,2018,68.96400004294183,8.310000419616701,165.0,12.0,5.0,56.25075149536133,-121.62853240966795,9340.0,36
07FB001,2017,182.9415636366064,27.79999923706055,2790.0,3.0,6.0,55.71844100952149,-121.21156311035156,12100.0,55
07FB002,2018,77.21047702702609,15.0,731.0,3.0,7.0,55.55247116088867,-121.20349884033205,5550.0,44
07FB003,2015,54.87105269181101,7.3499999046325675,349.0,12.0,5.0,55.54217147827149,-121.6275634765625,2590.0,38
07FB004,2019,0.6827045414935459,0.059000000357627876,26.79999923706055,12.0,7.0,55.53778076171875,-121.59680938720705,82.4000015258789,44
07FB005,2000,0.19640909033742818,0.0,3.0299999713897705,2.0,9.0,55.14582824707031,-120.92333221435548,29.5,22
07FB006,2018,51.33154543963346,8.670000076293945,412.0,3.0,5.0,55.06135940551758,-121.01377868652344,2370.0,44
07FB008,2019,10.200874879956245,1.4099999666213991,101.0,4.0,5.0,56.09249877929688,-121.36678314208984,1520.0,48
07FB009,2018,4.531216228330457,0.44999998807907104,112.0,3.0,7.0,55.09017181396485,-120.94183349609376,486.0,37
07FC001,2019,49.67278589095388,0.4059999883174896,568.0,3.0,6.0,56.27843856811523,-120.69985961914062,15600.0,56
07FC003,2019,5.248222231864929,0.13199999928474426,271.0,3.0,6.0,56.67763900756836,-121.22232818603516,1770.0,54
07FD001,2019,9.895849983890852,2.009999990463257,65.09999847412111,2.0,4.0,55.95735931396485,-120.56436157226562,3630.0,60
07FD002,2018,1279.653514283044,503.0,2280.0,2.0,5.0,56.13938903808594,-120.67241668701172,101000.0,70
07FD004,2015,0.9281515172033599,0.002000000094994902,17.700000762939453,8.0,4.0,56.33422088623047,-120.15514373779295,295.0,33
07FD007,2015,7.056549969315529,0.020999999716877937,36.900001525878906,8.0,6.0,55.86518859863281,-120.0304183959961,2860.0,40
07FD010,2017,1053.090473689531,461.0,2560.0,2.0,4.0,56.12691879272461,-120.0574722290039,121000.0,38
08CB001,1994,300.7,42.5,1350.0,2.0,7.0,58.04389190673828,-129.94583129882812,18800.0,30
08CC001,1995,72.31290288125315,10.0,300.0,3.0,5.0,57.9000015258789,-129.70388793945312,3550.0,31
08CD001,2019,34.52357141567128,5.929999828338622,232.0,4.0,5.0,58.07225036621094,-130.82644653320312,3550.0,56
08CE001,2017,384.63365454673766,47.9000015258789,1560.0,3.0,6.0,57.9002685546875,-131.15971374511722,29000.0,55
08CF001,1994,656.304347826087,88.0,3100.0,2.0,9.0,57.48611068725586,-131.75,36000.0,23
08CG001,2019,431.25027586262803,48.9000015258789,1390.0,3.0,6.0,56.73443984985352,-131.66899108886722,9500.0,58
08CG003,1995,17.20689655172414,3.75,34.5,3.0,6.0,57.53055953979492,-130.17916870117188,1250.0,29
08CG004,1994,287.2307692307692,32.09999847412109,4820.0,2.0,9.0,56.6986083984375,-130.87306213378906,7230.0,26
08DA005,2019,14.902848988209131,0.8899999856948853,54.9000015258789,3.0,6.0,56.10934066772461,-129.47740173339844,218.0,53
08DB001,2019,719.4673943653912,76.0,3070.0,1.0,5.0,55.26224899291992,-129.08503723144528,18400.0,71
08DB013,2018,1.8469285858528954,0.04399999976158142,4.699999809265137,3.0,5.0,55.129859924316406,-129.35493469238278,26.0,28
08DB014,2016,1.2621666801472504,0.054999999701976776,3.5,12.0,9.0,55.01816940307617,-129.34446716308594,18.0,24
08DC006,1998,25.167741898567446,2.3499999046325684,141.0,12.0,8.0,56.04278182983398,-129.92500305175778,350.0,31
08DD001,1995,104.59655156628838,10.399999618530273,480.0,3.0,9.0,56.35139083862305,-130.69166564941406,1480.0,29
08EB003,1985,526.2822142882006,62.5,3250.0,12.0,6.0,55.30105972290039,-127.6725616455078,26000.0,28
08EB004,2019,39.9432881706852,5.389999866485597,223.0,9.0,5.0,55.4338493347168,-127.7161636352539,1880.0,59
08EB005,2019,283.8089111328125,29.10000038146973,1800.0,2.0,5.0,55.717079162597656,-127.6867218017578,12400.0,45
08EC001,1985,36.34892029285431,16.0,84.30000305175781,2.0,6.0,55.32252883911133,-126.62982940673828,6350.0,50
08EC004,2019,4.822310368562567,1.3300000429153442,77.0,7.0,5.0,54.40544128417969,-125.42981719970705,808.0,58
08EC013,2018,44.90801920225987,19.0,224.0,12.0,5.0,55.42654037475586,-126.6976318359375,6760.0,52
08ED001,2019,24.70637485384941,3.4100000858306885,148.0,3.0,5.0,53.93032836914063,-127.45169067382812,732.0,56
08ED002,2019,67.20653845071793,11.399999618530273,308.0,3.0,5.0,54.11682891845703,-127.42658233642578,1900.0,65
08EE004,2018,127.87306666612625,21.0,809.0,3.0,5.0,54.61861038208008,-126.89997100830078,7340.0,75
08EE008,2019,1.7535185195781566,0.1449999958276749,12.199999809265135,3.0,7.0,54.64860916137695,-127.12332916259766,125.0,54
08EE012,2019,0.26393023063970167,0.004000000189989804,3.130000114440918,2.0,6.0,54.80994033813477,-127.20416259765624,13.199999809265135,43
08EE013,2019,4.174938757808841,0.23100000619888306,65.09999847412111,9.0,5.0,54.396080017089844,-126.65023803710938,565.0,49
08EE014,1995,2.167272751981562,0.09000000357627869,15.0,1.0,5.0,54.7983283996582,-127.11138916015624,256.0,22
08EE020,2018,12.880708369115988,1.4800000190734863,86.69999694824219,3.0,5.0,54.60694122314453,-127.49694061279295,367.0,48
08EE025,2019,0.14047499969601632,0.054999999701976776,0.5669999718666077,3.0,4.0,55.29610824584961,-127.6207504272461,21.200000762939453,40
08EF001,2019,744.1722553156792,97.9000015258789,4640.0,3.0,5.0,54.63193893432617,-128.43055725097656,42300.0,94
08EF005,2018,97.94647381807629,8.890000343322754,1670.0,1.0,10.0,54.493629455566406,-128.32466125488278,2850.0,57
08EG011,1994,23.72187513113022,3.6500000953674316,135.0,2.0,9.0,54.51860809326172,-128.727783203125,376.0,32
08EG012,2018,40.76473672871004,2.869999885559082,170.0,2.0,11.0,54.36219024658203,-129.31283569335938,370.0,57
08EG016,2019,6.150130458500074,3.380000114440918,55.20000076293945,1.0,10.0,54.24705123901367,-130.1729736328125,104.0,46
08FA002,2018,303.26009677302454,58.70000076293945,1020.0,3.0,11.0,51.67916870117188,-127.17916870117188,3900.0,62
08FA007,2018,2.237227298996665,1.190000057220459,4.632999897003174,1.0,10.0,51.69218063354492,-127.16738891601562,,44
08FB004,2018,7.718326902733399,1.5800000429153442,28.20000076293945,10.0,11.0,52.424560546875,-126.52108001708984,159.0,52
08FB005,1995,16.26086952375329,2.4100000858306885,47.29999923706055,1.0,5.0,52.38943862915039,-126.46028137207031,269.0,23
08FB006,2019,25.77497947216034,9.31999969482422,174.0,10.0,5.0,52.36008071899414,-126.005859375,2550.0,49
08FB007,2009,90.04102540627504,13.899999618530273,429.0,2.0,10.0,52.422218322753906,-126.1580581665039,3720.0,39
08FC003,2016,15.45277560000517,4.230000019073486,80.80000305175781,1.0,4.0,52.88946914672852,-125.77117156982422,3720.0,49
08FE002,2018,103.44920624627008,72.0,147.0,2.0,1.0,53.56111145019531,-127.93611145019531,,63
08FE003,2017,41.94225494534361,3.2300000190734863,1030.0,1.0,10.0,53.56354904174805,-127.95236206054688,556.0,51
08FF001,2019,121.0587720107614,12.600000381469727,539.0,3.0,11.0,54.04872131347656,-128.69050598144528,1990.0,57
08FF002,2019,19.429305095793836,3.119999885559082,233.0,12.0,10.0,54.064048767089844,-128.60261535644528,353.0,59
08FF003,2018,15.600000079189028,1.3400000333786009,110.0,3.0,5.0,54.136390686035156,-128.69000244140622,180.0,56
08FF006,2019,0.7821785669241633,0.0070000002160668364,3.140000104904175,8.0,11.0,53.94890975952149,-128.73751831054688,3.190000057220459,28
08GA010,2019,18.61060185785647,0.7519999742507935,225.0,9.0,1.0,49.396240234375,-123.14584350585938,173.0,108
08GA017,1967,44.822727181694724,5.349999904632568,190.0,4.0,10.0,49.96527862548828,-123.1508331298828,813.0,44
08GA022,2018,211.39395312592387,33.0,1040.0,3.0,11.0,49.7950210571289,-123.20316314697266,2350.0,64
08GA024,1947,19.67391304347826,2.3199999332427983,76.19999694824219,1.0,7.0,50.08332824707031,-123.04833221435548,287.0,23
08GA030,2018,15.356402252939926,1.8899999856948853,197.0,9.0,11.0,49.34197998046875,-123.00212097167969,179.0,87
08GA031,1954,20.204000129699708,1.3600000143051147,167.0,10.0,11.0,49.357948303222656,-123.11094665527344,197.0,25
08GA043,2019,30.048392763095244,15.0,208.0,2.0,11.0,49.8160285949707,-123.15007781982422,965.0,56
08GA047,2019,0.9682539673078627,0.061000000685453415,15.5,9.0,11.0,49.42082977294922,-123.64022064208984,32.59999847412109,63
08GA061,2017,0.2832499997069438,0.016000000759959217,2.5199999809265137,9.0,3.0,49.35615921020508,-123.09986114501952,3.630000114440918,48
08GA071,2018,90.93576719594556,11.100000381469727,823.0,2.0,11.0,50.11402893066406,-123.42839813232422,1200.0,43
08GA072,2018,18.238538418060696,3.990000009536743,82.19999694824219,3.0,11.0,50.07991027832031,-123.0356216430664,297.0,39
08GA075,2018,20.868111001120674,3.920000076293945,140.0,1.0,11.0,49.72594833374024,-123.1020965576172,284.0,27
08GA076,2018,3.736130424167799,0.3490000069141388,52.9000015258789,10.0,11.0,49.6898193359375,-123.14647674560548,52.79999923706055,23
08GA077,2019,6.036689632925494,0.296999990940094,53.099998474121094,8.0,11.0,49.520301818847656,-123.00404357910156,63.0,29
08GA079,2019,9.23646879196167,0.4790000021457672,71.5,8.0,11.0,49.4971694946289,-122.9691162109375,82.9000015258789,32
08GB007,1995,4.225833310021295,0.40400001406669617,29.60000038146973,7.0,12.0,49.797218322753906,-124.37999725341795,128.0,36
08GB013,2019,12.888242454239816,1.8799999952316284,160.0,1.0,11.0,49.78718948364258,-123.42041778564452,147.0,33
08GC005,2019,6.923136342655528,0.3129999935626984,53.4000015258789,9.0,11.0,50.12916946411133,-124.54055786132812,,22
08GC006,2019,3.4778260873711626,0.1850000023841858,5.440000057220459,9.0,11.0,50.12833023071289,-124.5425033569336,,23
08GC007,2019,1.630454531447454,0.009999999776482582,24.29999923706055,7.0,11.0,50.12776947021485,-124.54332733154295,,22
08GC008,2019,4.326652195142663,0.17399999499320984,30.29999923706055,9.0,11.0,50.09749984741211,-124.6161117553711,,23
08GD004,2019,232.02664999961854,50.5,945.0,3.0,6.0,50.98635864257813,-124.91864013671876,5680.0,60
08GD008,2018,1.78194999396801,0.2980000078678131,9.920000076293944,4.0,5.0,51.67322158813477,-124.40721893310548,486.0,40
08GE002,2019,247.62647998809814,38.5,996.0,3.0,6.0,51.14477920532226,-125.5943603515625,5780.0,50
08HA001,2019,16.905083367394077,0.11400000005960464,356.0,9.0,1.0,48.87836074829102,-123.70464324951172,355.0,72
08HA002,2019,40.51921514541872,4.5,213.0,9.0,12.0,48.82590866088867,-124.05304718017578,594.0,93
08HA003,2019,8.833882354638156,0.1169999986886978,199.0,8.0,1.0,48.72782897949219,-123.67080688476562,209.0,68
08HA005,1963,2.2821041780213513,0.0,36.79999923706055,2.0,1.0,48.51832962036133,-123.7005615234375,77.69999694824219,48
08HA006,1963,0.4724230772027603,0.0,0.8949999809265137,3.0,8.0,48.51832962036133,-123.7005615234375,66.90000152587889,26
08HA009,2018,1.3895263295424611,0.5329999923706055,3.4219999313354488,9.0,12.0,48.82440185546875,-124.06153106689452,,38
08HA010,2018,43.97075409638254,0.8360000252723694,797.0,9.0,1.0,48.57622909545898,-124.3113784790039,578.0,57
08HA011,2019,46.9305396590914,3.2000000476837163,426.0,8.0,1.0,48.77307891845703,-123.71446990966795,826.0,63
08HA016,2018,0.5777321455201933,0.008000000379979609,8.479999542236326,9.0,1.0,48.78921890258789,-123.72547149658205,15.5,56
08HA033,2008,2.2162187546491623,0.017999999225139618,8.590000152587889,7.0,1.0,48.658058166503906,-123.5688934326172,93.9000015258789,32
08HA068,2019,0.23855172483057813,0.002000000094994902,2.5699999332427983,8.0,1.0,48.57835006713867,-124.10572052001952,2.880000114440918,29
08HA069,2018,1.5646296386365537,0.016000000759959217,28.29999923706055,9.0,11.0,48.63674926757813,-124.29171752929688,8.119999885559082,27
08HA070,2018,2.617269231722905,0.04199999943375588,31.29999923706055,9.0,11.0,48.71937942504883,-124.2260513305664,28.0,26
