Purpose_Num,Consumptive?,Purpose,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,Reference
02I47,Consumptive/Non-consumptive,"Heat Exchanger, Residential",M3/D,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,9.6,"In an open loop system, the majority of water (in many cases, 100%) is returned to the environment, most often by injecting it back into the ground. However, water may also be returned to the surface (staff at Drillwell, personal communications). Water use (and return) is likely higher in winter months than summer months because water is more commonly used for heating than cooling in BC."
WSA06,Non-consumptive,Ice & Snow Making,M3/Y,0,0,3,3,3,3,0,0,0,0,0,0,12,"Return coefficients for Snow Making (Ecofish, 2015), supported by discussion with Whistler Blackcomb staff."
02I36,Consumptive,Processing & Mfg: Wharves,M3/D,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coefficients for 'Processing' (Ecofish, 2015), supported by discussions with license holders for purpose (Wharves) (Mike Carter, Port Alberni Port Authority)."
WSA01,Consumptive,Domestic (WSA01),M3/D,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coefficients for 'Domestic' (Ecofish, 2015). "
02I30,Non-consumptive,Ice & Snow Making: Snow,M3/Y,0,0,3,3,3,3,0,0,0,0,0,0,12,"Return coefficients for Snow Making (Ecofish, 2015). "
02I29,Consumptive,Processing & Mfg: Shipyard,M3/D,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coefficients for 'Processing' (Ecofish, 2015)."
05H,Consumptive,O & G: Drilling,M3/D,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fully consumptive (Suzan Lapp, BC Oil and Gas Commission)"
02I21,Consumptive,Camps & Pub Facil: Institutions,M3/D,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coefficients for 'Camps' (Ecofish, 2015). "
02I12,Consumptive,Misc Indl: Fire Protection,"M3/S, M3/D, TF, Select",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3,"Coefficients for 'Fire Protection [MD]' (Ecofish, 2015). "
02I12,Consumptive,Misc Indl: Fire Protection,M3/Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6,"Coefficients for 'Fire Protection [MY]' (Ecofish, 2015). "
02I39,Consumptive,Vehicle & Eqpt: Mine & Quarry,M3/D,0,0,0,0,0,0,0,0,0,0,0,0,0,"Licenses in this category were previously classified as Industrial so the distribution for Industrial was used (Ecofish, 2015). Also, MFLNRORD staff noted that the primary useses in this category were likely related to dust control and equipment washing and so it is likelt that the majority of water would evaporate (Jeremy Roscoe)."
02I33,Consumptive,Vehicle & Eqpt: Truck & Eqp Wash,M3/D,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coefficients for 'Truck Washing' (Ecofish, 2015). MFLNRORD staff noted that most of the water for this purpose is used to wash equipment and is sprayed onto the ground where much of it evaporates. Any surface runoff should/would be kept from re-entering a source source (Jeremy Roscoe)."
02I37,Consumptive,Camps & Pub Facil: Work Camps,M3/D,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coefficients for 'Work Camps' (Ecofish, 2015). "
02HU,Consumptive,Marine Export - Used (Inactive),M3/Y,0,0,0,0,0,0,0,0,0,0,0,0,0,No current licenses
02I24,Non-consumptive,Misc Indl: Overburden Disposal,TF,1,1,1,1,1,1,1,1,1,1,1,1,12,"Non-consumptive, as it is typically not an actual use of water and all licenses are in units TF (Barry Watson)."
07C,Non-consumptive,Power: General,"M3/S, M3/Y",1,1,1,1,1,1,1,1,1,1,1,1,12,"Coefficients for 'Power-General' (Ecofish, 2015). "
02I43,Consumptive,Transport Mgmt: Tunnelling/Well Drilling,DNE,0,0,0,0,0,0,0,0,0,0,0,0,0,No current licenses
02I11,Consumptive,Processing & Mfg: Fire Prevention,M3/S,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coefficients for 'Processing' (Ecofish, 2015). Water is removed from source and most likely evaporates (Barry Watson)."
02I23,Consumptive,O & G: Oil Fld Inject. (non-deep GW),M3/D,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fully consumptive (Suzan Lapp, BC Oil and Gas Commission)"
02C,Consumptive,Cooling,M3/D,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coefficients for 'Industrial' (Ecofish, 2015). "
